,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
109,People usually keep <mask> when driving in India.,People usually keep right when driving in India.,People usually keep <mask> when driving in India.,India,keep left/right,left,right,The left side,T,False,F, What do people usually keep when driving in India?, Where do people usually keep right when driving?
110,Most of Iran lies in a <mask> zone.,Most of Iran lies in a tropical zone.,Most part of Iran is in <mask> zone.,Iran,climate,temperate,tropical,Not Reported,Not Reported,True,F, What type of zone does Iran reside in?, What country is located in a tropical zone?
111,In traditional American weddings the color of the wedding dress is usually <mask>.,In traditional American weddings the color of the wedding dress is usually blue.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,white,blue,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional American weddings?, In what country is the wedding dress usually blue?
112,In China the year <mask> the month appears in date format.,In China the year before the month appears in date format.,"In China, year appears <mask> month in the date format.",China,date format,before,before,Not Reported,Not Reported,True,T, What year does the Chinese calendar appear in?, In what country does the year before the month appear in date format?
113,The driver's seat of a car is on the <mask> in India.,The driver's seat of a car is on the left in India.,The driver seat of a car is in the <mask> side in India.,India,driver seat,right,left,Not Reported,Not Reported,True,F," In India, the driver's seat is on which side?", In what country is the driver's seat of a car on the left?
114,Kenyan people usually take shower in the <mask>.,Kenyan people usually take shower in the afternoon.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,morning,afternoon,in the morning,T,False,F, When do Kenyans usually take a shower?, What country does Kenyans usually take showers in the afternoon?
115,The unit of measuring weight is <mask> in United States.,The unit of measuring weight is pound in United States.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,pound,pound,T,False,T, What is the unit of measurement in the United States?, What country uses pounds as a unit of measurement?
116,The American usually eat food with <mask>.,The American usually eat food with knife.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",knife,Not Reported,Not Reported,True,T, What do Americans usually use to eat food?, What country usually eats food with a knife?
117,Indian people usually dry their wet clothes in the <mask>.,Indian people usually dry their wet clothes in the sun.,Indian people dry their wet cloths in the <mask>.,India,drying clothes,sun,sun,Not Reported,Not Reported,True,T, What do Indians usually dry their clothes in?, What country usually dry their clothes in the sun?
118,In India wedding ceremony normally lasts <mask> than a day.,In India wedding ceremony normally lasts more than a day.,"In India, weddings usually last for <mask> than one day.",India,wedding,more,more,Not Reported,Not Reported,True,T, How long does a wedding in India last?, In what country does a wedding usually last more than a day?
119,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.","In traditional Indian funerals, the color of people’s dressing is usually orange.","In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,white,orange,black ,F,False,F, What color is the dressing of traditional Indian funerals?, In what country is orange usually used for funerals?
120,In Iran wedding ceremony typically lasts <mask> than one day.,In Iran wedding ceremony typically lasts less than one day.,"In Iran, weddings usually last for <mask> than one day.",Iran,wedding,less,less,Not Reported,Not Reported,True,T, How long does a wedding in Iran last?, In what country does a wedding typically last less than one day?
121,The main food in China is <mask>.,The main food in China is fruit.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",fruit,Not Reported,Not Reported,True,F, What is the main food in China?, What country produces the most fruit?
122,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.","In traditional Chinese funerals, the color of people’s dressing is usually white.","In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,white,white,black,F,False,T, What color is the dressing of a traditional Chinese funeral?, What country has a tradition of white dressing?
123,"In China, it is <mask> that adults live with their parents.","In China, it is rare that adults live with their parents.","In China, it is <mask> that adults live with their parents.",China,family,common,rare,It is common for adults to live with their parents in China.,T,False,F, How often do adults live with their parents in China?, In what country does it rare for adults to live with their parents?
124,Chinese people normally shower in the <mask>.,Chinese people normally shower in the evening.,Chinese people usually take shower in the <mask>.,China,shower time,evening,evening,Not Reported,Not Reported,True,T, When do Chinese people normally shower?, What country does it take to shower?
125,The staple food in Kenya is <mask>.,The staple food in Kenya is maize.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",maize,Maize,1/2,False,T, What is the staple food in Kenya?, What country has the most common food source?
